ID_Wisata,Nama_Wisata,Kota,Kategori,Deskripsi_Wisata,Deskripsi_Clean
W_5b6f0a38,Taman Jayawijaya Mojosongo,Solo,Budaya/Sejarah,"Taman kota dengan peralatan bermain & area duduk, plus kedai makanan & masjid terdekat.",taman kota alat main area duduk plus kedai makan masjid dekat
W_39f1bce1,Taman Monumen 45 Banjarsari,Solo,Budaya/Sejarah,Destinasi wisata Taman Monumen 45 Banjarsari berlokasi di Solo.,destinasi wisata taman monumen banjarsari lokasi solo
W_48c43301,Taman Sunan Jogo Kali,Solo,Budaya/Sejarah,Destinasi wisata Taman Sunan Jogo Kali berlokasi di Solo.,destinasi wisata taman sunan jogo kali lokasi solo
W_22c6564b,Pasar Triwindu,Solo,Budaya/Sejarah,Destinasi wisata Pasar Triwindu berlokasi di Solo.,destinasi wisata pasar triwindu lokasi solo
W_23060855,Pasar Gede Hardjonagoro,Solo,Budaya/Sejarah,"Pasar ramai yang terkenal dengan kuliner kaki lima, menawarkan kios yang menjual buah, sayur & ikan.",pasar ramai kenal kuliner kaki lima tawar kios jual buah sayur ikan
W_d32d914a,Pasar Klewer Surakarta,Solo,Budaya/Sejarah,Destinasi wisata Pasar Klewer Surakarta berlokasi di Solo.,destinasi wisata pasar klewer surakarta lokasi solo
W_45edcdaa,Pasar Malam Ngarsopuro,Solo,Budaya/Sejarah,"Pasar malam akhir pekan yang semarak, diramaikan dengan pedagang kerajinan tangan, makanan, & musik live.",pasar malam akhir pekan semarak ramai dagang rajin tangan makan musik live
W_3c8f6d0e,Stadion Manahan,Solo,Budaya/Sejarah,Destinasi wisata Stadion Manahan berlokasi di Solo.,destinasi wisata stadion manah lokasi solo
W_248fa377,Koridor GatSu,Solo,Budaya/Sejarah,Destinasi wisata Koridor GatSu berlokasi di Solo.,destinasi wisata koridor gatsu lokasi solo
W_032080aa,Monumen Tugu Lilin,Solo,Budaya/Sejarah,Destinasi wisata Monumen Tugu Lilin berlokasi di Solo.,destinasi wisata monumen tugu lilin lokasi solo
W_85d50fbd,Plasa Manahan,Solo,Budaya/Sejarah,Destinasi wisata Plasa Manahan berlokasi di Solo.,destinasi wisata plasa manah lokasi solo
W_dbae899c,Tugu Makuthå,Solo,Budaya/Sejarah,Destinasi wisata Tugu Makuthå berlokasi di Solo.,destinasi wisata tugu makuth lokasi solo
W_01657a37,De Tjolomadoe,Solo,Budaya/Sejarah,"Pusat kebudayaan & pameran di pabrik gula abad ke-19 seluas 6,5 hektare dengan kafe & museum.",pusat budaya pamer pabrik gula abad luas hektare kafe museum
W_5bbaa647,The Heritage Palace,Solo,Budaya/Sejarah,Istana indoor-outdoor besar dengan taman & beberapa museum seni plus area bermain & ruang konvensi.,istana indoor outdoor besar taman beberapa museum seni plus area main ruang konvensi
W_82c59681,Pandawa Water World,Solo,Budaya/Sejarah,"Taman rekreasi untuk anak ini menyediakan kolam renang, seluncuran, tempat bermain, & ombak buatan.",taman rekreasi anak sedia kolam renang seluncur tempat main ombak buat
W_98c02141,Air Terjun Grojogan Sewu,Solo,Budaya/Sejarah,Pendakian di area hijau mengarah ke air terjun indah ini yang mengalir di tengah lingkungan rindang.,daki area hijau arah air terjun indah yang alir tengah lingkung rindang
W_5ee3fddb,Candi Cetho,Solo,Budaya/Sejarah,Candi suci Jawa-Hindu di lereng gunung yang dibangun pada abad ke-15 & menghadap perkebunan teh.,candi suci jawa hindu lereng gunung bangun abad hadap kebun teh
W_a9204eeb,Candi Sukuh,Solo,Budaya/Sejarah,"Kompleks candi 600 tahun yang dipersembahkan untuk kelahiran & kehidupan baru, yang terdiri dari piramida & patung.",kompleks candi tahun sembah lahir hidup baru diri piramida patung
W_34f8c7ec,THE LAWU PARK,Solo,Budaya/Sejarah,"Resor gunung dengan kelinci & domba, jalan setapak di atas pohon & zona salju, plus kabin simpel.",resor gunung kelinci domba jalan setapak atas pohon zona salju plus kabin simpel
W_a866782b,Umbul Ponggok,Solo,Budaya/Sejarah,"Digemari pecinta snorkeling & penyelam amatir, kolam alami tenang ini terkenal dengan pasir, batu, & ikan.",gari cinta snorkeling selam amatir kolam alami tenang kenal pasir batu ikan
W_c7a85cd2,Waduk Cengklik Park,Solo,Budaya/Sejarah,"Kompleks rekreasi di tepi waduk, termasuk monorel, kolam renang, dan bioskop virtual reality.",kompleks rekreasi tepi waduk masuk monorel kolam renang bioskop virtual reality
W_5c14f0bb,Kemuning Sky Hills,Solo,Budaya/Sejarah,Destinasi wisata Kemuning Sky Hills berlokasi di Solo.,destinasi wisata kemuning sky hills lokasi solo
W_90c5e3d6,AIR TERJUN JUMOG REAL,Solo,Alam,"Air terjun yang tinggi dan deras ini memiliki kolam rendam, tempat pengamatan indah & berbagai jalur.",air terjun tinggi deras milik kolam rendam tempat amat indah bagai jalur
W_e13b9e73,Telaga Madirda,Solo,Budaya/Sejarah,"Area rekreasi yang terletak di bukit berhutan, dengan aktivitas naik kayak di danau tenang, hiking, dan kemah.",area rekreasi letak bukit hutan aktivitas naik kayak danau tenang hiking kemah
W_5a2b76a3,Kebun Teh Kemuning,Solo,Budaya/Sejarah,"Kebun teh di lereng Gunung Berapi Lawu, yang menawarkan jalan-jalan tanpa pemandu & beberapa kafe.",kebun teh lereng gunung rap lawu tawar jalan jalan pandu beberapa kafe
W_90f90f7a,Wisata Bukit Mongkrang,Solo,Alam,Area pendakian dengan jalur pendek menanjak ke titik pengamatan di kaki bukit dengan pemandangan Gunung Lawu.,area daki jalur pendek tanjak titik amat kaki bukit pandang gunung lawu
W_404adf9b,Sakura Hills,Solo,Budaya/Sejarah,"Gerbang Shinto torii, penyewaan model samurai dan kimono di taman khas Jepang dengan bunga sakura musim semi.",gerbang shinto torii sewa model samurai kimono taman khas jepang bunga sakura musim semi
W_5c6e90b1,Wisata Bukit Sekipan Tawangmangu,Solo,Alam,"Area rekreasi di lembah pegunungan, dengan wahana untuk anak-anak & model bangunan terkenal global.",area rekreasi lembah gunung wahana anak anak model bangun kenal global
W_c2c03f55,Taman Wisata New Balekambang Tawangmangu,Solo,Budaya/Sejarah,Replika 7 keajaiban dunia berskala kecil di antara taman rekreasi air dan game yang cocok untuk keluarga.,replika ajaib dunia skala kecil antara taman rekreasi air game cocok keluarga
W_fd999a42,Rumah Atsiri Indonesia,Solo,Budaya/Sejarah,"Berada di bekas pabrik minyak sereh wangi, fasilitas modern ini memberikan edukasi minyak esensial untuk umum.",ada bekas pabrik minyak sereh wangi fasilitas modern beri edukasi minyak esensial umum
W_8f45b319,Umbul Kemanten,Solo,Budaya/Sejarah,Kolam mata air alami berair jernih yang dikelilingi pepohonan tinggi ini adalah tempat populer untuk berenang.,kolam mata air alami air jernih keliling pohon tinggi adalah tempat populer renang
W_4768af2b,Kolam Renang Umbul Cokro (OMAC-Obyek Mata Air Cokro),Solo,Budaya/Sejarah,Destinasi wisata Kolam Renang Umbul Cokro (OMAC-Obyek Mata Air Cokro) berlokasi di Solo.,destinasi wisata kolam renang umbul cokro omac obyek mata air cokro lokasi solo
W_bd996948,Umbul Sigedang - Kapilaler,Solo,Budaya/Sejarah,Mata air mengaliri taman rekreasi dengan kolam renang alami ini dan fasilitas wisatawan lainnya.,mata air alir taman rekreasi kolam renang alami dan fasilitas wisatawan lain
W_8fa53f4b,UMBUL PELEM WATERPARK,Solo,Budaya/Sejarah,"Pusat aktivitas outdoor di atas mata air alami, dengan kolam renang, seluncuran air, dan area bermain.",pusat aktivitas outdoor atas mata air alami kolam renang seluncur air area main
W_c4a5f903,Umbul Besuki,Solo,Budaya/Sejarah,"Taman air yang dibangun di sekitar mata air alami dengan kolam renang, pemancingan, dan jalan setapak teduh.",taman air bangun sekitar mata air alami kolam renang pancing jalan setapak teduh
W_3b3833d7,Candi Merak,Solo,Budaya/Sejarah,Destinasi wisata Candi Merak berlokasi di Solo.,destinasi wisata candi merak lokasi solo
W_b2d61e45,Rowo Jombor,Solo,Budaya/Sejarah,"Danau besar populer untuk berperahu & memancing, dikelilingi kedai camilan & resto hidangan panggang seafood.",danau besar populer perahu pancing keliling kedai camil resto hidang panggang seafood
W_f27d6d3d,Bukit Sidoguro Krakitan Bayat Klaten,Solo,Alam,Karya seni publik menyerupai flora asli di platform observasi puncak bukit yang menghadap ke kota & hutan.,karya seni publik rupa flora asli platform observasi puncak bukit hadap kota hutan
W_6b073af3,Air Terjun Girimanik,Solo,Alam,Destinasi wisata Air Terjun Girimanik berlokasi di Solo.,destinasi wisata air terjun girimanik lokasi solo
W_c4ad0939,Waduk Gadjah Mungkur,Solo,Budaya/Sejarah,"Di waduk damai & luas ini ada aktivitas berperahu, berenang, memancing, kebun binatang mini & area piknik.",waduk damai luas ada aktivitas perahu renang pancing kebun binatang mini area piknik
W_eb8debc6,Museum Manusia Purba Sangiran Klaster Ngebung,Solo,Budaya/Sejarah,"Pusat pendidikan yang menampilkan pajangan & artefak Manusia Jawa, salah satu jenis manusia purba.",pusat didik tampil pajang artefak manusia jawa salah satu jenis manusia purba
W_ab68cc1e,Gunung Kemukus,Solo,Alam,"Situs gunung dan ziarah yang ditutupi tanaman subur, dengan sebuah kuil tua di bagian atasnya.",situs gunung ziarah tutup tanam subur buah kuil tua bagi atas
W_a6fefb15,Waduk Kedung Ombo,Solo,Budaya/Sejarah,Destinasi wisata Waduk Kedung Ombo berlokasi di Solo.,destinasi wisata waduk kedung ombo lokasi solo
W_c90c9ee7,Alun-Alun Karanganyar,Solo,Budaya/Sejarah,Ruang hijau terbuka yang besar dan dibatasi oleh pohon ini merupakan tempat bagi berbagai acara & festival.,ruang hijau buka besar batas pohon rupa tempat bagai acara festival
W_fd9470de,Alun-Alun Kidul Boyolali,Solo,Budaya/Sejarah,Alun-alun umum luas dengan patung sapi raksasa ini sering menjadi tempat berjualan berbagai pedagang makanan.,alun alun umum luas patung sapi raksasa sering jadi tempat jual bagai dagang makan
W_4f39e271,Simpang Siaga Boyolali,Solo,Budaya/Sejarah,Tiga belas kuda menarik kereta menanjak di patung besar dan menawan yang terbuat dari perunggu ini.,tiga belas kuda tarik kereta tanjak patung besar tawan buat perunggu
W_185602b0,Monumen Susu Tumpah,Solo,Budaya/Sejarah,Destinasi wisata Monumen Susu Tumpah berlokasi di Solo.,destinasi wisata monumen susu tumpah lokasi solo
W_90a31d8d,Cepogo Cheese Park,Solo,Budaya/Sejarah,Destinasi wisata Cepogo Cheese Park berlokasi di Solo.,destinasi wisata cepogo cheese park lokasi solo
W_b7e4b6bc,New Selo,Solo,Budaya/Sejarah,"Area hiking bertiket dengan kedai camilan, kafe warung & panorama pegunungan berhutan yang diselimuti kabut.",area hiking tiket kedai camil kafe warung panorama gunung hutan limut kabut
W_9694ac0a,Bukit Sanjaya/ New UGA - Boyolali,Solo,Alam,Destinasi wisata Bukit Sanjaya/ New UGA - Boyolali berlokasi di Solo.,destinasi wisata bukit sanjaya new uga boyolali lokasi solo
W_da47a9f1,Kebun Raya Indrokilo,Solo,Budaya/Sejarah,Destinasi wisata Kebun Raya Indrokilo berlokasi di Solo.,destinasi wisata kebun raya indrokilo lokasi solo
W_61a26b90,Umbul Pengging,Solo,Budaya/Sejarah,"Kompleks keluarga dengan area bermain, spot piknik & kolam renang yang bersumber dari mata air dingin alami.",kompleks keluarga area main spot piknik kolam renang sumber mata air dingin alami
W_45ca5b5d,Gunung Sepikul Sukoharjo,Solo,Alam,"Gugusan batu menjulang tinggi yang memukau dengan panorama bukit berhutan & sawah, populer untuk trekking.",gugus batu julang tinggi pukau panorama bukit hutan sawah populer trekking
W_aca6a9ec,Wisata Alam Batu Seribu,Solo,Budaya/Sejarah,Destinasi wisata Wisata Alam Batu Seribu berlokasi di Solo.,destinasi wisata wisata alam batu ribu lokasi solo
W_629b3856,Bukit Hope,Solo,Alam,Destinasi wisata Bukit Hope berlokasi di Solo.,destinasi wisata bukit hope lokasi solo
W_1581d004,Museum Samanhoedi,Solo,Budaya/Sejarah,Destinasi wisata Museum Samanhoedi berlokasi di Solo.,destinasi wisata museum samanhoedi lokasi solo
W_da1ffb93,Petilasan Kerajaan Pajang,Solo,Budaya/Sejarah,Destinasi wisata Petilasan Kerajaan Pajang berlokasi di Solo.,destinasi wisata tilas raja pajang lokasi solo
W_d863911e,"Kali Pucung Rivertubing,OUTBOUND dan Jeep Adventure KEMUNING",Solo,Budaya/Sejarah,"Destinasi wisata Kali Pucung Rivertubing,OUTBOUND dan Jeep Adventure KEMUNING berlokasi di Solo.",destinasi wisata kali pucung rivertubing outbound jeep adventure kemuning lokasi solo
W_80a2224e,De'Tasikmadoe Heritage,Solo,Budaya/Sejarah,"Taman di pabrik gula tua dengan area bermain, panjat dinding, akuarium, kandang burung & taman rekreasi air.",taman pabrik gula tua area main panjat dinding akuarium kandang burung taman rekreasi air
W_94fa976f,Candi Menggung,Solo,Budaya/Sejarah,Destinasi wisata Candi Menggung berlokasi di Solo.,destinasi wisata candi gung lokasi solo
W_82326d07,Pemandian Air Panas Bayanan,Solo,Budaya/Sejarah,Destinasi wisata Pemandian Air Panas Bayanan berlokasi di Solo.,destinasi wisata mandi air panas bayan lokasi solo
W_e412c13b,Air Terjun Parang Ijo,Solo,Alam,Banyak tangga batu mengarah ke air terjun indah ini yang mengalir di tengah lingkungan yang rimbun.,banyak tangga batu arah air terjun indah alir tengah lingkung yang rimbun
W_80a47124,TAHURA KGPAA. Mangkunagoro I,Solo,Budaya/Sejarah,Destinasi wisata TAHURA KGPAA. Mangkunagoro I berlokasi di Solo.,destinasi wisata tahura kgpaa mangkunagoro i lokasi solo
W_6f3bc7a8,Astana Giribangun,Solo,Budaya/Sejarah,"Makam marmer Presiden Soeharto dan keluarganya, yang terletak di paviliun simpel bergaya Jawa di puncak bukit.",makam marmer presiden soeharto keluarga letak paviliun simpel gaya jawa puncak bukit
W_3a624c02,Telaga Claket,Solo,Budaya/Sejarah,"Danau kecil yang tenang di kaki Bukit Widodaren, dengan ponton dan bingkai berbentuk hati.",danau kecil tenang kaki bukit widodaren ponton bingkai bentuk hati
W_a65a4311,Bukit Gancik Selo Boyolali,Solo,Alam,Pos pengamatan puncak bukit dengan panorama Gunung Merapi & Gunung Merbabu yang indah dari tempat pengamatan.,pos amat puncak bukit panorama gunung rapi gunung merbabu indah tempat amat
W_c8f404e3,Air Terjun Kedung Sriti,Solo,Alam,Destinasi wisata Air Terjun Kedung Sriti berlokasi di Solo.,destinasi wisata air terjun kedung sriti lokasi solo
W_2a15d115,Wahana Soko Alas,Solo,Budaya/Sejarah,Destinasi wisata Wahana Soko Alas berlokasi di Solo.,destinasi wisata wahana soko alas lokasi solo
W_926d6531,Janti Park,Solo,Budaya/Sejarah,Destinasi wisata Janti Park berlokasi di Solo.,destinasi wisata janti park lokasi solo
W_10f7d602,Umbul Nilo,Solo,Budaya/Sejarah,Destinasi wisata Umbul Nilo berlokasi di Solo.,destinasi wisata umbul nilo lokasi solo
W_a3b03727,Obyek Wisata Deles Indah,Solo,Budaya/Sejarah,Destinasi wisata Obyek Wisata Deles Indah berlokasi di Solo.,destinasi wisata obyek wisata deles indah lokasi solo
86,Keraton Yogyakarta,Yogyakarta,Budaya,"Keraton Ngayogyakarta Hadiningrat atau Keraton Yogyakarta (bahasa Jawa: ꦏꦫꦠꦺꦴꦤ꧀​ꦔꦪꦺꦴꦒꦾꦏꦂꦠ​ꦲꦢꦶꦤꦶꦔꦿꦠ꧀, translit. Karaton Ngayogyakarta Hadiningrat) merupakan istana resmi Kesultanan Ngayogyakarta Hadiningrat yang kini berlokasi di Kota Yogyakarta. Keraton ini didirikan oleh Sri Sultan Hamengkubuwana I pada tahun 1755 sebagai Istana/Keraton Yogyakarta yang baru berdiri akibat perpecahan Mataram Islam dengan adanya Perjanjian Giyanti. Keraton ini adalah pecahan dari Keraton Surakarta Hadiningrat dari Kesunanan Surakarta (Kerajaan Surakarta). Sehingga dinasti Mataram diteruskan oleh 2 Kerajaan yakni Kesultanan Yogyakarta dan Kesunanan Surakarta. Total luas wilayah keseluruhan keraton yogyakarta mencapai 184 hektar, yakni meliputi seluruh area di dalam benteng Baluwarti, alun-alun Lor, alun-alun Kidul, gapura Gladak, dan kompleks Masjid Gedhe Yogyakarta. Sementara luas dari kedhaton (inti keraton) mencapai 13 hektar. Walaupun Kesultanan Yogyakarta secara resmi telah menjadi bagian Republik Indonesia pada tahun 1945, kompleks bangunan keraton ini masih berfungsi sebagai tempat tinggal sultan dan rumah tangga istananya yang masih menjalankan tradisi kesultanan hingga saat ini. Keraton ini kini juga merupakan salah satu objek wisata di Kota Yogyakarta. Sebagian kompleks keraton merupakan museum yang menyimpan berbagai koleksi milik kesultanan, termasuk berbagai pemberian dari raja-raja Eropa, replika pusaka keraton, dan gamelan. Dari segi bangunannya, keraton ini merupakan salah satu contoh arsitektur istana Jawa yang terbaik, memiliki balairung-balairung mewah dan lapangan serta paviliun yang luas.",keraton ngayogyakarta hadiningrat keraton yogyakarta bahasa jawa translit karaton ngayogyakarta hadiningrat rupa istana resmi sultan ngayogyakarta hadiningrat kini lokasi kota yogyakarta keraton diri sri sultan hamengkubuwana i tahun istana keraton yogyakarta baru diri akibat pecah mataram islam ada janji giyanti keraton adalah pecah keraton surakarta hadiningrat sunan surakarta raja surakarta dinasti mataram terus raja sultan yogyakarta sunan surakarta total luas wilayah seluruh keraton yogyakarta capai hektar liput seluruh area dalam benteng baluwarti alun alun lor alun alun kidul gapura gladak kompleks masjid gedhe yogyakarta luas kedhaton inti keraton capai hektar walaupun sultan yogyakarta resmi jadi bagi republik indonesia tahun kompleks bangun keraton masih fungsi tempat tinggal sultan rumah tangga istana masih jalan tradisi sultan hingga keraton kini rupa salah satu objek wisata kota yogyakarta bagi kompleks keraton rupa museum simpan bagai koleksi milik sultan masuk bagai beri raja raja eropa replika pusaka keraton gamelan segi bangun keraton ini rupa salah satu contoh arsitektur istana jawa baik milik balairung balairung mewah lapang paviliun luas
87,Sindu Kusuma Edupark (SKE),Yogyakarta,Taman Hiburan,"Sindu Kusuma Edupark (SKE) merupakan sebuah destinasi rekreasi yang terletak di Jogjakarta. Di tujuh hektar kawasan taman yang selesai dibangun tahun 2014 ini, terdapat bermacam-macam wahana, baik wahana bermain maupun wahana belajar yang bisa dinikmati oleh semua anggota keluarga. Wahana yang paling terkenal dari SKE adalah bianglalanya, yang merupakan sebuah wahana bermain sekaligus ikon SKE sendiri. Bila Singapore memiliki Flyer setinggi 165 meter, sementara Malaysia punya Eye setinggi 88 meter, dan di Thailand ada Asiatique setinggi 60 meter, Indonesia memiliki Cakra Manggilingan dengan tinggi 48 meter. Di tingkat Asia Tenggara, bianglala ini memang mesti berpuas diri duduk di peringkat keenam sebagai bianglala tertinggi, tetapi di tingkat nasional, ia duduk di peringkat pertama.",sindu kusuma edupark ske rupa buah destinasi rekreasi letak jogjakarta tujuh hektar kawasan taman selesai bangun tahun dapat macam macam wahana baik wahana main maupun wahana ajar bisa nikmat semua anggota keluarga wahana paling kenal ske bianglala rupa buah wahana main sekaligus ikon ske sendiri bila singapore milik flyer setinggi meter malaysia punya eye setinggi meter thailand asiatique setinggi meter indonesia milik cakra manggilingan tinggi meter tingkat asia tenggara bianglala memang mesti puas diri duduk peringkat enam bianglala tinggi di tingkat nasional duduk di peringkat pertama
88,Museum Benteng Vredeburg Yogyakarta,Yogyakarta,Budaya,"Museum Benteng Vredeburg (bahasa Jawa: ꦩꦸꦱꦶꦪꦸꦩ꧀​ꦧꦺꦠꦺꦁ​ꦮ꦳ꦽꦢꦼꦧꦸꦂꦒ꧀, translit. Musiyum Bètèng Vredeburg adalah sebuah benteng yang terletak di depan Gedung Agung dan Kraton Kesultanan Yogyakarta. Sekarang, benteng ini menjadi sebuah museum. Di sejumlah bangunan di dalam benteng ini terdapat diorama mengenai sejarah Indonesia.",museum benteng vredeburg bahasa jawa translit musiyum b t ng vredeburg buah benteng letak depan gedung agung kraton sultan yogyakarta sekarang benteng jadi buah museum jumlah bangun dalam benteng dapat diorama kena sejarah indonesia
91,Situs Warungboto,Yogyakarta,Taman Hiburan,"Situs Warungboto atau Pesanggrahan Rejawinangun adalah salah satu bangunan cagar budaya yang terletak di Jalan Veteran No.77, Kelurahan Warungboto, Kecamatan Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta. Pada awalnya, situs ini merupakan lokasi sebuah pesanggrahan dan pemandian.",situs warungboto pesanggrahan rejawinangun salah satu bangun cagar budaya letak jalan veteran no lurah warungboto camat umbulharjo kota yogyakarta daerah istimewa yogyakarta awal situs rupa lokasi buah pesanggrahan mandi
92,Nol Kilometer Jl.Malioboro,Yogyakarta,Taman Hiburan,"Walaupun hanyalah sebuah persimpangan, namun persimpangan Titik 0 km ini bukanlah sebuah persimpangan biasa. Karena di persimpangan ini bisa dibilang sebagai titik tengah kota Jogja karena lokasinya yang benar-benar di depan Keraton Yogyakarta sebagai pendiri daerah yang istimewa ini. Terlebih lagi di sebelah utaranya adalah pusat keramaian wisata Jogja yaitu Jalan Malioboro, sehingga jika anda sedang nongkrong di persimpangan Titik Nol Kilometer ini benar-benar merasakan titik tengah Jogja yang begitu syahdu. Titik 0 Kilometer Yogyakarta memang tempat favorit wisatawan untuk menghabiskan waktu, terlebih pada sore hari dan malam hari yang setiap hari selalu ramai disesaki oleh para wisatawan yang sekedar hanya untuk nongkrong di dudukan yang banyak disediakan di sekitar perempatan.",walaupun hanya buah simpang simpang titik km bukan buah simpang biasa simpang bisa bilang titik tengah kota jogja lokasi benar benar depan keraton yogyakarta diri daerah istimewa lebih belah utara pusat ramai wisata jogja jalan malioboro jika sedang nongkrong simpang titik nol kilometer benar benar rasa titik tengah jogja begitu syahdu titik kilometer yogyakarta memang tempat favorit wisatawan habis waktu lebih sore hari malam hari tiap hari selalu ramai saki para wisatawan dar untuk nongkrong di duduk banyak sedia di sekitar empat
93,Gembira Loka Zoo,Yogyakarta,Cagar Alam,"Kebun Binatang Gembira Loka biasa disebut Gembira Loka Zoo (disingkat GL Zoo, bahasa Jawa: ꦏꦼꦧꦺꦴꦤ꧀​ꦫꦗ​ꦒꦼꦩ꧀ꦧꦶꦫ​ꦭꦺꦴꦏ, translit. Kêbon Raja Gêmbira Loka) adalah kebun binatang yang berada di Kota Yogyakarta. Berisi berbagai macam spesies dari belahan dunia, seperti orang utan, gajah asia, simpanse, harimau, dan lain sebagainya. Kebun Binatang Gembira Loka menjadi daya tarik tersendiri bagi para wisatawan Yogyakarta. Gembira Loka Zoo sempat rusak parah akibat gempa bumi Yogyakarta tahun 2006. Tetapi, setelah direnovasi Kebun Binatang Gembira Loka tetap dicari para wisatawan.",kebun binatang gembira loka biasa sebut gembira loka zoo singkat gl zoo bahasa jawa translit k bon raja g mbira loka kebun binatang ada kota yogyakarta isi bagai macam spesies bahan dunia orang utan gajah asia simpanse harimau lain bagai kebun binatang gembira loka jadi daya tarik sendiri wisatawan yogyakarta gembira loka zoo sempat rusak parah akibat gempa bumi yogyakarta tahun telah renovasi kebun binatang gembira loka tetap cari para wisatawan
94,Sumur Gumuling,Yogyakarta,Taman Hiburan,Sumur Gumuling adalah salah satu tempat untuk ibadah atau kegiatan agama pada masa lalu. Sumur Gumuling merupakan masjid pada zaman pemerintahan Sri Sultan Hamengkubuwana I dan II.,sumur gumuling salah satu tempat ibadah giat agama masa lalu sumur gumuling rupa masjid zaman perintah sri sultan hamengkubuwana i ii
95,Desa Wisata Sungai Code Jogja Kota,Yogyakarta,Taman Hiburan,"Kampung Code berada di Kelurahan Kotabaru, Kecamatan Gondokusuman Kota Yogyakarta. Lokasi persisnya ada di RT 01/RW 01 di sebelah selatan jembatan Gondolayu di Jl Jenderal Sudirman atau di sebelah timur bantaran Kali Code yang membelah Kota Yogyakarta. Kampung Code terletak persis di bantaran Kali Code yang memanjang ke arah selatan dengan kontur tanah bertebing dari atas ke bawah. Di bagian atas yang mepet Jl Faridan M. Noto sebagian besar digunakan warga untuk usaha jasa/jual beli ban mobil. Sedangkan di bagian bawah menjadi tempat pemukiman warga. Kampung Code yang tadinya kampung biasa, menjelma menjadi sebuah karya seni berkat jasa seorang arsitek sekaligus pemuka agama katolik, Romo YB Manguwijaya.",kampung code ada lurah kotabaru camat gondokusuman kota yogyakarta lokasi persis rt rw belah selatan jembatan gondolayu jl jenderal sudirman belah timur bantaran kali code belah kota yogyakarta kampung code letak persis di bantaran kali code panjang arah selatan kontur tanah tebing atas bawah di bagi atas mepet jl faridan m noto bagi besar guna warga usaha jasa jual beli ban mobil di bagi bawah jadi tempat mukim warga kampung code tadi kampung biasa jelma jadi buah karya seni berkat jasa orang arsitek sekaligus muka agama katolik romo yb manguwijaya
96,Alun Alun Selatan Yogyakarta,Yogyakarta,Taman Hiburan,"Alun-alun Selatan atau yang sekarang lebih dikenal sebagai Alun-alun Kidul (Alkid) yaitu alun-alun yang terletak di sebelah selatan karaton Yogyakarta. Alun-alun ini berbentuk tanah lapang luas berpasir, dengan luas sekitar 160m x 160 m. Alun-alun ini dikelilingi pagar tembok batu bata setinggi 2,20 m, tebal pagar tembok 30 cm, sudah banyak yang runtuh dan rusak. Adapun pagar tembok yang dapat disaksikan sekarang adalah pagar tembok baru, yang dibangun oleh Sri Sultan Hamengkubuwono ke VII pada masa pemerintahannya tahun 1877 -1921 M.",alun alun selatan sekarang lebih kenal alun alun kidul alkid alun alun letak belah selatan karaton yogyakarta alun alun bentuk tanah lapang luas pasir luas m x m alun alun keliling pagar tembok batu bata setinggi m tebal pagar tembok cm banyak runtuh rusak adapun pagar tembok dapat saksi sekarang pagar tembok baru yang bangun sri sultan hamengkubuwono vii masa perintah tahun m
98,Taman Pelangi Yogyakarta,Yogyakarta,Taman Hiburan,"Taman Pelangi Yogyakarta merupakan tempat wisata malam yang menampilkan warna-warni lampu lampion, sehingga terlihat seperti pelangi. Taman wisata ini terletak di Jalan Padjajaran (sebelumnya bernama Jalan Ring Road Utara), dan berada di lokasi Museum Monumen Yogya Kembali (Monumen Jogja Kembali) Yogyakarta. Taman Pelangi memiliki lebih dari 20 jenis permainan, 25 stand makan dan stand minum. Taman pelangi ini bisa dinikmati dari sore sampai malam, atau dari jam 17.00 sampai jam 23.00. Malam hari anda akan terasa lengkap dan sempurna di Taman Pelangi dengan banyaknya lampion yang menyala memberikan kesan yang menarik untuk menenangkan pikiran.",taman pelangi yogyakarta rupa tempat wisata malam tampil warna warni lampu lampion lihat pelangi taman wisata letak jalan padjajaran belum nama jalan ring road utara ada lokasi museum monumen yogya monumen jogja yogyakarta taman pelangi milik lebih jenis main stand makan stand minum taman pelangi bisa nikmat sore malam dari jam jam malam hari akan asa lengkap sempurna taman pelangi banyak lampion nyala beri kesan tarik tenang pikir
